opening_eco,opening_name,opening_ply,Opening_ID,Opening_Family,Complexity_Level
B22,Sicilian Defense: Alapin Variation |  Barmen Defense,6,357,Sicilian Defense,Intermediate
A16,English Opening: Anglo-Gruenfeld Defense,4,358,English Opening,Intermediate
A22,English Opening: King's English Variation |  Two Knights Variation |  Reversed Dragon,6,359,English Opening,Intermediate
B41,Sicilian Defense: Kan Variation,8,360,Sicilian Defense,Advanced
B33,Sicilian Defense: Open,8,361,Sicilian Defense,Advanced
D43,Semi-Slav Defense,8,362,Semi-Slav Defense,Advanced
C48,Four Knights Game: Spanish Variation |  Rubinstein Variation,8,363,Four Knights Game,Advanced
A00,Van Geet Opening,1,364,Van Geet Opening,Basic
C20,English Opening: The Whale,3,365,English Opening,Basic
A40,Polish Defense,2,366,Polish Defense,Basic
C66,Ruy Lopez: Berlin Defense |  Improved Steinitz Defense,8,367,Ruy Lopez,Advanced
C42,Petrov's Defense #3,6,368,Petrov's Defense #3,Intermediate
E17,Queen's Indian Defense: Classical Variation,11,369,Queen's Indian Defense,Advanced
A43,Old Benoni Defense,2,370,Old Benoni Defense,Basic
A01,Nimzo-Larsen Attack: Modern Variation #3,4,371,Nimzo-Larsen Attack,Intermediate
A00,Kadas Opening,1,372,Kadas Opening,Basic
B34,Sicilian Defense: Accelerated Dragon |  Exchange Variation,9,373,Sicilian Defense,Advanced
D30,Queen's Gambit Declined: Tarrasch Defense |  Pseudo-Tarrasch,6,374,Queen's Gambit Declined,Intermediate
D46,Semi-Slav Defense: Romih Variation,12,375,Semi-Slav Defense,Advanced
C57,Italian Game: Two Knights Defense |  Polerio Defense,10,376,Italian Game,Advanced
C57,Italian Game: Two Knights Defense |  Fritz Variation,10,377,Italian Game,Advanced
D02,Queen's Gambit Refused: Baltic Defense,4,378,Queen's Gambit Refused,Intermediate
C26,Vienna Game: Stanley Variation,5,379,Vienna Game,Intermediate
D11,Slav Defense: Modern Line,5,380,Slav Defense,Intermediate
A08,King's Indian Attack: Sicilian Variation,5,381,King's Indian Attack,Intermediate
D00,Queen's Pawn Game: Stonewall Attack,5,382,Queen's Pawn Game,Intermediate
C68,Ruy Lopez: Exchange Variation |  King's Bishop Variation,10,383,Ruy Lopez,Advanced
A02,Bird Opening: From's Gambit,2,384,Bird Opening,Basic
B33,Sicilian Defense: Lasker-Pelikan Variation |  Schlechter Variation,11,385,Sicilian Defense,Advanced
B21,Sicilian Defense: Smith-Morra Gambit,5,386,Sicilian Defense,Intermediate
C79,Ruy Lopez: Central Countergambit,10,387,Ruy Lopez,Advanced
A51,Indian Game: Budapest Defense,4,388,Indian Game,Intermediate
A01,Nimzo-Larsen Attack: Modern Variation #2,3,389,Nimzo-Larsen Attack,Basic
E30,Nimzo-Indian Defense: Leningrad Variation,7,390,Nimzo-Indian Defense,Intermediate
C47,Four Knights Game: Scotch Variation Accepted,8,391,Four Knights Game,Advanced
C27,Vienna Game #2,6,392,Vienna Game #2,Intermediate
C29,Vienna Game: Vienna Gambit |  Main Line,6,393,Vienna Game,Intermediate
B07,Pirc Defense #2,5,394,Pirc Defense #2,Intermediate
A42,Modern Defense: Averbakh System |  Kotov Variation,8,395,Modern Defense,Advanced
A71,Benoni Defense: Classical Variation |  Averbakh-Grivas Attack,15,396,Benoni Defense,Advanced
A02,System: Double Duck Formation,4,397,System,Intermediate
B06,Modern Defense: Standard Line,5,398,Modern Defense,Intermediate
D35,Queen's Gambit Declined: Normal Defense,6,399,Queen's Gambit Declined,Intermediate
B32,Sicilian Defense: Loewenthal Variation,8,400,Sicilian Defense,Advanced
B94,Sicilian Defense: Najdorf Variation,11,401,Sicilian Defense,Advanced
B40,Sicilian Defense: French Variation |  Normal,8,402,Sicilian Defense,Advanced
D00,Blackmar-Diemer Gambit,3,403,Blackmar-Diemer Gambit,Basic
C45,Scotch Game: Paulsen Attack,13,404,Scotch Game,Advanced
C46,Three Knights Opening #2,6,405,Three Knights Opening #2,Intermediate
B43,Sicilian Defense: Kan Variation |  Knight Variation,9,406,Sicilian Defense,Advanced
B38,Sicilian Defense: Accelerated Dragon |  Maroczy Bind,11,407,Sicilian Defense,Advanced
B07,Pirc Defense #3,6,408,Pirc Defense #3,Intermediate
B90,Sicilian Defense: Najdorf Variation |  English Attack,11,409,Sicilian Defense,Advanced
D04,Queen's Pawn Game: Colle System |  Anti-Colle,6,410,Queen's Pawn Game,Intermediate
B12,Caro-Kann Defense: Advance Variation |  Van der Wiel Attack,7,411,Caro-Kann Defense,Intermediate
D00,Blackmar-Diemer Gambit #2,5,412,Blackmar-Diemer Gambit #2,Intermediate
B13,Caro-Kann Defense: Exchange Variation |  Rubinstein Variation,11,413,Caro-Kann Defense,Advanced
B11,Caro-Kann Defense: Two Knights Attack |  Mindeno Variation |  Retreat Line,8,414,Caro-Kann Defense,Advanced
C45,Scotch Game: Schmidt Variation,8,415,Scotch Game,Advanced
B10,Caro-Kann Defense: Breyer Variation,3,416,Caro-Kann Defense,Basic
B10,Caro-Kann Defense: Accelerated Panov Attack #2,4,417,Caro-Kann Defense,Intermediate
B87,Sicilian Defense: Sozin Attack |  Flank Variation,14,418,Sicilian Defense,Advanced
D12,Slav Defense: Exchange Variation |  Schallopp Variation,11,419,Slav Defense,Advanced
B07,Rat Defense: Balogh Defense,4,420,Rat Defense,Intermediate
C20,King's Pawn Game: Mengarini's Opening,3,421,King's Pawn Game,Basic
E59,Nimzo-Indian Defense: Normal Variation |  Bernstein Defense,19,422,Nimzo-Indian Defense,Advanced
C91,Ruy Lopez: Closed Variations |  Bogoljubov Variation,18,423,Ruy Lopez,Advanced
D12,Slav Defense: Quiet Variation |  Pin Defense,8,424,Slav Defense,Advanced
E14,Queen's Indian Defense: Spassky System,7,425,Queen's Indian Defense,Intermediate
C42,Russian Game: Nimzowitsch Attack,9,426,Russian Game,Advanced
C42,Russian Game: Karklins-Martinovsky Variation,7,427,Russian Game,Intermediate
C11,French Defense: Steinitz Variation |  Boleslavsky Variation,13,428,French Defense,Advanced
A06,Zukertort Opening: Santasiere's Folly,3,429,Zukertort Opening,Basic
A04,Polish Opening: Zukertort System,3,430,Polish Opening,Basic
A28,English Opening: King's English Variation |  Four Knights Variation #2,6,431,English Opening,Intermediate
C44,King's Pawn Game: Tayler Opening,5,432,King's Pawn Game,Intermediate
D06,Queen's Gambit Refused: Austrian Defense,4,433,Queen's Gambit Refused,Intermediate
B20,Sicilian Defense: Lasker-Dunne Attack,3,434,Sicilian Defense,Basic
B15,Caro-Kann Defense,5,435,Caro-Kann Defense,Intermediate
D04,Queen's Pawn Game: Colle System,5,436,Queen's Pawn Game,Intermediate
A80,Dutch Defense: Hopton Attack,3,437,Dutch Defense,Basic
B40,Sicilian Defense: Delayed Alapin Variation,5,438,Sicilian Defense,Intermediate
B01,Scandinavian Defense: Main Line |  Mieses Variation,8,439,Scandinavian Defense,Advanced
A40,Englund Gambit Complex: Soller Gambit,4,440,Englund Gambit Complex,Intermediate
A04,Zukertort Opening: Black Mustang Defense,2,441,Zukertort Opening,Basic
A04,Reti Opening #2,2,442,Reti Opening #2,Basic
A07,King's Indian Attack: Sicilian Variation,4,443,King's Indian Attack,Intermediate
A07,King's Indian Attack,3,444,King's Indian Attack,Basic
A04,Zukertort Opening: Queen's Gambit Invitation,2,445,Zukertort Opening,Basic
A00,Hungarian Opening: Slav Formation,4,446,Hungarian Opening,Intermediate
D01,Queen's Pawn Game: Veresov Attack |  Classical Defense,7,447,Queen's Pawn Game,Intermediate
C59,Italian Game: Two Knights Defense |  Polerio Defense |  Suhle Defense,16,448,Italian Game,Advanced
C02,French Defense: Advance Variation #3,5,449,French Defense,Intermediate
C68,Ruy Lopez: Exchange Variation |  Keres Variation,9,450,Ruy Lopez,Advanced
D20,Queen's Gambit Accepted: Saduleto Variation,5,451,Queen's Gambit Accepted,Intermediate
C53,Italian Game: Classical Variation |  Albin Gambit,9,452,Italian Game,Advanced
A00,Gedult's Opening,1,453,Gedult's Opening,Basic
D20,Queen's Gambit Accepted: Central Variation |  Modern Defense,6,454,Queen's Gambit Accepted,Intermediate
D05,Colle System,6,455,Colle System,Intermediate
D48,Semi-Slav Defense: Meran Variation,16,456,Semi-Slav Defense,Advanced
A06,Nimzowitsch-Larsen Attack,3,457,Nimzowitsch-Larsen Attack,Basic
C49,Four Knights Game: Double Spanish,8,458,Four Knights Game,Advanced
A52,Budapest Defense: Rubinstein Variation,7,459,Budapest Defense,Intermediate
B36,Sicilian Defense: Accelerated Dragon,8,460,Sicilian Defense,Advanced
C11,French Defense: Classical Variation |  Delayed Exchange Variation,7,461,French Defense,Intermediate
B21,Sicilian Defense: McDonnell Attack,3,462,Sicilian Defense,Basic
D05,Colle System #2,7,463,Colle System #2,Intermediate
A35,English Opening: Symmetrical Variation |  Two Knights Variation,4,464,English Opening,Intermediate
D15,Slav Defense: Three Knights Variation,7,465,Slav Defense,Intermediate
A10,English Opening,1,466,English Opening,Basic
A27,English Opening: King's English Variation |  Three Knights System,5,467,English Opening,Intermediate
B21,Sicilian Defense: Smith-Morra Gambit Declined |  Center Formation,6,468,Sicilian Defense,Intermediate
B40,Sicilian Defense: Pin Variation,10,469,Sicilian Defense,Advanced
C44,King's Knight Opening: Normal Variation,4,470,King's Knight Opening,Intermediate
A56,Benoni Defense: Czech Benoni Defense,6,471,Benoni Defense,Intermediate
A06,Zukertort Opening: Tennison Gambit,3,472,Zukertort Opening,Basic
C22,Center Game: Paulsen Attack Variation,7,473,Center Game,Intermediate
C02,French Defense: Advance Variation |  Euwe Variation,10,474,French Defense,Advanced
A16,English Opening: Anglo-Indian Defense |  Queen's Knight Variation,3,475,English Opening,Basic
C30,King's Gambit Declined |  Classical Variation,4,476,King's Gambit Declined,Intermediate
B45,Sicilian Defense: Four Knights Variation,10,477,Sicilian Defense,Advanced
E34,Nimzo-Indian Defense: Classical Variation |  Noa Variation,8,478,Nimzo-Indian Defense,Advanced
D46,Semi-Slav Defense: Bogoljubov Variation,12,479,Semi-Slav Defense,Advanced
C44,Scotch Game: Scotch Gambit,7,480,Scotch Game,Intermediate
C40,King's Pawn Game: Busch-Gass Gambit,4,481,King's Pawn Game,Intermediate
D53,Queen's Gambit Declined: 4.Bg5 Be7,8,482,Queen's Gambit Declined,Advanced
D70,Neo-Gruenfeld Defense,6,483,Neo-Gruenfeld Defense,Intermediate
C12,French Defense: MacCutcheon Variation |  Chigorin Variation,11,484,French Defense,Advanced
B40,Sicilian Defense: French Variation |  Westerinen Attack,5,485,Sicilian Defense,Intermediate
B20,Sicilian Defense: Staunton-Cochrane Variation,3,486,Sicilian Defense,Basic
D00,Blackmar-Diemer Gambit: Euwe Defense,10,487,Blackmar-Diemer Gambit,Advanced
B32,Sicilian Defense: Kalashnikov Variation,10,488,Sicilian Defense,Advanced
B41,Sicilian Defense: Kan Variation |  Maroczy Bind |  Reti Variation,9,489,Sicilian Defense,Advanced
B56,Sicilian Defense: Classical Variation,10,490,Sicilian Defense,Advanced
C88,Ruy Lopez: Closed,13,491,Ruy Lopez,Advanced
E77,King's Indian Defense: Six Pawns Attack,8,492,King's Indian Defense,Advanced
C60,Ruy Lopez: Vinogradov Variation,6,493,Ruy Lopez,Intermediate
C00,Queen's Pawn Game: Franco-Sicilian Defense,4,494,Queen's Pawn Game,Intermediate
C25,Vienna Game: Anderssen Defense,4,495,Vienna Game,Intermediate
C00,Rat Defense: Small Center Defense,4,496,Rat Defense,Intermediate
C60,Ruy Lopez: Spanish Countergambit,6,497,Ruy Lopez,Intermediate
A85,Dutch Defense: Queen's Knight Variation,5,498,Dutch Defense,Intermediate
C67,Ruy Lopez: Berlin Defense |  Rio de Janeiro Variation,10,499,Ruy Lopez,Advanced
C54,Italian Game: Classical Variation |  Greco Gambit |  Main Line,16,500,Italian Game,Advanced
C44,Scotch Game: Benima Defense,8,501,Scotch Game,Advanced
A80,Dutch Defense: Raphael Variation,3,502,Dutch Defense,Basic
C57,Italian Game: Two Knights Defense |  Knight Attack |  Normal Variation,8,503,Italian Game,Advanced
E71,King's Indian Defense: Makogonov Variation,9,504,King's Indian Defense,Advanced
C20,King's Pawn Game,2,505,King's Pawn Game,Basic
C40,King's Pawn Game: Gunderam Gambit,4,506,King's Pawn Game,Intermediate
B56,Sicilian Defense: Modern Variations,9,507,Sicilian Defense,Advanced
C41,Philidor Defense: Exchange Variation #3,6,508,Philidor Defense,Intermediate
B00,Nimzowitsch Defense: Williams Variation,4,509,Nimzowitsch Defense,Intermediate
C30,King's Gambit,3,510,King's Gambit,Basic
C78,Ruy Lopez: Closed Variations |  Morphy Attack,11,511,Ruy Lopez,Advanced
C72,Ruy Lopez: Morphy Defense |  Modern Steinitz Defense,9,512,Ruy Lopez,Advanced
B34,Sicilian Defense: Accelerated Dragon,8,513,Sicilian Defense,Advanced
C68,Ruy Lopez: Exchange Variation |  Lutikov Variation,8,514,Ruy Lopez,Advanced
A28,English Opening: Four Knights System |  Nimzowitsch Variation,7,515,English Opening,Intermediate
D02,Queen's Pawn Game: Anti-Torre,4,516,Queen's Pawn Game,Intermediate
C44,Scotch Game: Scotch Gambit |  Sarratt Variation,9,517,Scotch Game,Advanced
C46,Three Knights Opening: Schlechter Variation,8,518,Three Knights Opening,Advanced
C46,Four Knights Game: Italian Variation,7,519,Four Knights Game,Intermediate
C40,Latvian Gambit Accepted,5,520,Latvian Gambit Accepted,Intermediate
C24,Bishop's Opening: Berlin Defense,4,521,Bishop's Opening,Intermediate
A41,Modern Defense,6,522,Modern Defense,Intermediate
A40,English Defense,4,523,English Defense,Intermediate
E00,Indian Game: Seirawan Attack,5,524,Indian Game,Intermediate
C27,Vienna Game,3,525,Vienna Game,Basic
B01,Scandinavian Defense: Main Line,6,526,Scandinavian Defense,Intermediate
D00,Queen's Pawn Game: Levitsky Attack,3,527,Queen's Pawn Game,Basic
B25,Sicilian Defense: Closed Variation |  Traditional,4,528,Sicilian Defense,Intermediate
B29,Sicilian Defense: Nimzowitsch Variation |  Advance Variation,5,529,Sicilian Defense,Intermediate
A43,Benoni Defense: Benoni Gambit Accepted,3,530,Benoni Defense,Basic
B32,Sicilian Defense: Open #2,6,531,Sicilian Defense,Intermediate
A00,Grob Opening,1,532,Grob Opening,Basic
B32,Sicilian Defense: Franco-Sicilian Variation,6,533,Sicilian Defense,Intermediate
C25,Vienna Game: Max Lange Defense,4,534,Vienna Game,Intermediate
B14,Caro-Kann Defense: Panov Attack,10,535,Caro-Kann Defense,Advanced
B10,Caro-Kann Defense: Two Knights Attack,5,536,Caro-Kann Defense,Intermediate
C05,French Defense: Tarrasch Variation |  Closed Variation,6,537,French Defense,Intermediate
C56,Italian Game: Scotch Gambit |  Anderssen Attack,15,538,Italian Game,Advanced
D06,Queen's Gambit Refused: Chigorin Defense |  Lazard Gambit,6,539,Queen's Gambit Refused,Intermediate
C00,French Defense: King's Indian Attack,3,540,French Defense,Basic
B12,Caro-Kann Defense: Advance Variation |  Botvinnik-Carls Defense,6,541,Caro-Kann Defense,Intermediate
C55,Italian Game: Scotch Gambit |  Janowski Defense,10,542,Italian Game,Advanced
C55,Italian Game: Two Knights Defense |  Max Lange Attack,11,543,Italian Game,Advanced
C55,Italian Game: Deutz Gambit,9,544,Italian Game,Advanced
B35,Sicilian Defense: Accelerated Dragon |  Modern Bc4 Variation,13,545,Sicilian Defense,Advanced
C00,French Defense: Steiner Variation,3,546,French Defense,Basic
C00,French Defense: Wing Gambit,7,547,French Defense,Intermediate
C05,French Defense: Tarrasch Variation |  Closed Variation #2,12,548,French Defense,Advanced
B33,Sicilian Defense: Lasker-Pelikan Variation,10,549,Sicilian Defense,Advanced
B07,Rat Defense: Accelerated Gurgenidze,6,550,Rat Defense,Intermediate
A40,Mikenas Defense,2,551,Mikenas Defense,Basic
D00,Blackmar-Diemer Gambit: Zeller Defense,6,552,Blackmar-Diemer Gambit,Intermediate
D00,Blackmar-Diemer Gambit: Ryder Gambit,9,553,Blackmar-Diemer Gambit,Advanced
A45,Trompowsky Attack: Classical Defense |  Big Center Variation,5,554,Trompowsky Attack,Intermediate
C60,Ruy Lopez: Alapin Defense,6,555,Ruy Lopez,Intermediate
A29,English Opening: King's English Variation |  Four Knights Variation |  Fianchetto Line,7,556,English Opening,Intermediate
C15,French Defense: Winawer Variation |  Fingerslip Variation,7,557,French Defense,Intermediate
C44,Scotch Game: Vitzthum Attack,11,558,Scotch Game,Advanced
A07,King's Indian Attack: Yugoslav Variation,8,559,King's Indian Attack,Advanced
A04,Zukertort Opening: Pirc Invitation,2,560,Zukertort Opening,Basic
E61,King's Indian Defense: 3.Nc3,5,561,King's Indian Defense,Intermediate
C23,Bishop's Opening: Philidor Counterattack,4,562,Bishop's Opening,Intermediate
B07,Pirc Defense,4,563,Pirc Defense,Intermediate
E61,King's Indian Defense: Smyslov Variation,9,564,King's Indian Defense,Advanced
A21,English Opening: King's English Variation |  Kramnik-Shirov Counterattack,4,565,English Opening,Intermediate
D32,Tarrasch Defense,6,566,Tarrasch Defense,Intermediate
A41,Old Indian Defense,3,567,Old Indian Defense,Basic
D02,Queen's Pawn Game: Krause Variation,4,568,Queen's Pawn Game,Intermediate
C57,Italian Game: Two Knights Defense |  Traxler Counterattack |  Knight Sacrifice Line,9,569,Italian Game,Advanced
B07,Pirc Defense #5,3,570,Pirc Defense #5,Basic
B40,Sicilian Defense: Drazic Variation,6,571,Sicilian Defense,Intermediate
D20,Queen's Gambit Accepted: Central Variation |  Rubinstein Defense,6,572,Queen's Gambit Accepted,Intermediate
B07,Pirc Defense: Classical Variation #2,7,573,Pirc Defense,Intermediate
B02,Alekhine Defense: John Tracy Gambit,3,574,Alekhine Defense,Basic
A00,Anderssen Opening,1,575,Anderssen Opening,Basic
B95,Sicilian Defense: Najdorf Variation,12,576,Sicilian Defense,Advanced
C10,French Defense: Paulsen Variation,5,577,French Defense,Intermediate
B21,Sicilian Defense: Smith-Morra Gambit Declined |  Alapin Formation,6,578,Sicilian Defense,Intermediate
B20,King's Pawn Opening: Speers,5,579,King's Pawn Opening,Intermediate
B00,Nimzowitsch Defense: Scandinavian Variation |  Bogoljubov Variation,5,580,Nimzowitsch Defense,Intermediate
C25,Vienna Game: Paulsen Variation,5,581,Vienna Game,Intermediate
C40,Latvian Gambit Accepted |  Main Line,7,582,Latvian Gambit Accepted,Intermediate
B03,Alekhine Defense: Four Pawns Attack,9,583,Alekhine Defense,Advanced
D07,Queen's Gambit Refused: Chigorin Defense |  Janowski Variation,7,584,Queen's Gambit Refused,Intermediate
B10,Caro-Kann Defense #2,3,585,Caro-Kann Defense #2,Basic
B28,Sicilian Defense: O'Kelly Variation |  Yerevan System,5,586,Sicilian Defense,Intermediate
B84,Sicilian Defense: Najdorf Variation |  Scheveningen Variation,14,587,Sicilian Defense,Advanced
A10,English Opening: Anglo-Dutch Defense,2,588,English Opening,Basic
B32,Sicilian Defense: Godiva Variation,8,589,Sicilian Defense,Advanced
C50,Italian Game: Rousseau Gambit,6,590,Italian Game,Intermediate
C20,Portuguese Opening,3,591,Portuguese Opening,Basic
C20,King's Pawn Game: Alapin Opening,3,592,King's Pawn Game,Basic
D20,Queen's Gambit Accepted: Accelerated Mannheim Variation,5,593,Queen's Gambit Accepted,Intermediate
A04,Zukertort Opening: Dutch Variation,2,594,Zukertort Opening,Basic
B01,Scandinavian Defense: Gubinsky-Melts Defense,6,595,Scandinavian Defense,Intermediate
D00,Queen's Pawn Game: Veresov Attack |  Alburt Defense,4,596,Queen's Pawn Game,Intermediate
C02,French Defense: Advance Variation |  Nimzowitsch System,7,597,French Defense,Intermediate
D31,Queen's Gambit Declined: Alapin Variation,6,598,Queen's Gambit Declined,Intermediate
D06,Queen's Gambit,3,599,Queen's Gambit,Basic
B46,Sicilian Defense: Paulsen Variation,10,600,Sicilian Defense,Advanced
C46,Three Knights Opening: Winawer Defense,6,601,Three Knights Opening,Intermediate
B44,Sicilian Defense: Paulsen Variation,8,602,Sicilian Defense,Advanced
C44,King's Knight Opening: Konstantinopolsky,5,603,King's Knight Opening,Intermediate
C41,Philidor Defense: Nimzowitsch Variation #2,6,604,Philidor Defense,Intermediate
B06,Modern Defense: Two Knights Variation,7,605,Modern Defense,Intermediate
A53,Old Indian: Czech Variation |  with Nc3,6,606,Old Indian,Intermediate
B00,Nimzowitsch Defense |  Declined Variation,3,607,Nimzowitsch Defense,Basic
C77,Ruy Lopez: Morphy Defense |  Anderssen Variation,9,608,Ruy Lopez,Advanced
C20,King's Pawn Game: Napoleon Attack,3,609,King's Pawn Game,Basic
B28,Sicilian Defense: O'Kelly Variation,4,610,Sicilian Defense,Intermediate
B02,Alekhine Defense: Normal Variation,4,611,Alekhine Defense,Intermediate
C26,Vienna Game: Stanley Variation |  Reversed Spanish,6,612,Vienna Game,Intermediate
C60,Ruy Lopez: Nuernberg Variation,6,613,Ruy Lopez,Intermediate
C20,King's Pawn Game: Tortoise Opening,3,614,King's Pawn Game,Basic
D93,Gruenfeld Defense: Three Knights Variation |  Hungarian Variation,11,615,Gruenfeld Defense,Advanced
D60,Queen's Gambit Declined: Orthodox Defense,12,616,Queen's Gambit Declined,Advanced
B88,Sicilian Defense: Sozin Attack |  Leonhardt Variation,12,617,Sicilian Defense,Advanced
C74,Ruy Lopez: Morphy Defense |  Modern Steinitz Defense,9,618,Ruy Lopez,Advanced
B20,Sicilian Defense: Wing Gambit,3,619,Sicilian Defense,Basic
B04,Alekhine Defense: Modern Variation |  Larsen Variation,8,620,Alekhine Defense,Advanced
C34,King's Gambit Accepted |  MacLeod Defense,6,621,King's Gambit Accepted,Intermediate
C65,Ruy Lopez: Berlin Defense,7,622,Ruy Lopez,Intermediate
C78,Ruy Lopez: Morphy Defense,9,623,Ruy Lopez,Advanced
A40,Mikenas Defense: Cannstatter Variation,6,624,Mikenas Defense,Intermediate
D20,Queen's Gambit Accepted: Central Variation |  Rubinstein Defense |  Yefimov Gambit,8,625,Queen's Gambit Accepted,Advanced
D25,Queen's Gambit Accepted: Normal Variation,7,626,Queen's Gambit Accepted,Intermediate
C21,Center Game: Kieseritzky Variation #2,5,627,Center Game,Intermediate
C33,King's Gambit Accepted |  Bishop's Gambit |  Maurian Defense,6,628,King's Gambit Accepted,Intermediate
C52,Italian Game: Evans Gambit |  Pierce Defense,12,629,Italian Game,Advanced
B23,Sicilian Defense: Closed Variation |  Chameleon Variation,5,630,Sicilian Defense,Intermediate
A40,Englund Gambit Declined |  Reversed Krebs,4,631,Englund Gambit Declined,Intermediate
C22,Center Game: Hall Variation,7,632,Center Game,Intermediate
A13,English Opening: Agincourt Defense #2,4,633,English Opening,Intermediate
C33,King's Gambit Accepted |  Polerio Gambit,5,634,King's Gambit Accepted,Intermediate
B07,Rat Defense: Harmonist,3,635,Rat Defense,Basic
B00,King's Pawn,1,636,King's Pawn,Basic
C14,French Defense: Classical Variation |  Steinitz Variation,13,637,French Defense,Advanced
B98,Sicilian Defense: Najdorf Variation,14,638,Sicilian Defense,Advanced
A00,Mieses Opening: Reversed Rat,2,639,Mieses Opening,Basic
C00,French Defense,4,640,French Defense,Intermediate
C20,King's Pawn Game: King's Head Opening #2,3,641,King's Pawn Game,Basic
C44,Irish Gambit,5,642,Irish Gambit,Intermediate
C34,King's Gambit Accepted |  King's Knight Gambit,5,643,King's Gambit Accepted,Intermediate
A00,Van Geet Opening: Napoleon Attack,5,644,Van Geet Opening,Intermediate
B12,Caro-Kann Defense: Maroczy Variation,5,645,Caro-Kann Defense,Intermediate
B45,Sicilian Defense: Paulsen Variation |  Normal Variation,9,646,Sicilian Defense,Advanced
C67,Ruy Lopez: Berlin Defense |  Minckwitz Variation,11,647,Ruy Lopez,Advanced
C44,Scotch Game: Scotch Gambit |  Dubois Reti Defense,8,648,Scotch Game,Advanced
B00,Nimzowitsch Defense: Kennedy Variation |  Paulsen Attack,7,649,Nimzowitsch Defense,Intermediate
B00,Nimzowitsch Defense: Breyer Variation,6,650,Nimzowitsch Defense,Intermediate
B00,Nimzowitsch Defense: Pseudo-Spanish Variation,3,651,Nimzowitsch Defense,Basic
C48,Four Knights Game: Spanish Variation |  Rubinstein Variation Accepted,9,652,Four Knights Game,Advanced
B00,Nimzowitsch Defense: Kennedy Variation |  Keres Attack,7,653,Nimzowitsch Defense,Intermediate
B06,Modern Defense: Two Knights Variation |  Suttles Variation,8,654,Modern Defense,Advanced
D26,Queen's Gambit Accepted: Normal Variation |  Traditional System,8,655,Queen's Gambit Accepted,Advanced
A15,English Opening: Anglo-Indian Defense |  Scandinavian Defense,4,656,English Opening,Intermediate
B01,Scandinavian Defense: Blackburne-Kloosterboer Gambit,4,657,Scandinavian Defense,Intermediate
A01,Nimzo-Larsen Attack: Indian Variation,2,658,Nimzo-Larsen Attack,Basic
B12,Caro-Kann Defense: Advance Variation |  Short Variation,7,659,Caro-Kann Defense,Intermediate
B13,Caro-Kann Defense: Panov Attack |  Modern Defense |  Mieses Line,12,660,Caro-Kann Defense,Advanced
D00,Queen's Pawn Opening: Veresov Attack |  Irish Gambit,4,661,Queen's Pawn Opening,Intermediate
C44,Scotch Game: Scotch Gambit |  Cochrane-Anderssen Variation,12,662,Scotch Game,Advanced
B75,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Early Deviations,13,663,Sicilian Defense,Advanced
A41,Rat Defense: English Rat,4,664,Rat Defense,Intermediate
A38,English Opening: Symmetrical Variation |  Duchamp Variation,13,665,English Opening,Advanced
B93,Sicilian Defense: Najdorf Variation |  Amsterdam Variation,11,666,Sicilian Defense,Advanced
D15,Slav Defense: Chameleon Variation,8,667,Slav Defense,Advanced
A00,Hungarian Opening: Sicilian Invitation,2,668,Hungarian Opening,Basic
C41,Philidor Defense: Lion Variation,8,669,Philidor Defense,Advanced
B57,Sicilian Defense: Classical Variation |  Anti-Sozin Variation,12,670,Sicilian Defense,Advanced
C77,Ruy Lopez: Morphy Defense |  Wormald Attack,9,671,Ruy Lopez,Advanced
C18,French Defense: Winawer Variation |  Poisoned Pawn Variation,13,672,French Defense,Advanced
C42,Russian Game: Classical Attack |  Chigorin Variation,15,673,Russian Game,Advanced
A00,Clemenz Opening,1,674,Clemenz Opening,Basic
E44,Nimzo-Indian Defense: Fischer Variation,9,675,Nimzo-Indian Defense,Advanced
E32,Nimzo-Indian Defense: Classical Variation,7,676,Nimzo-Indian Defense,Intermediate
B12,Caro-Kann Defense: Advance Variation |  Bronstein Variation,7,677,Caro-Kann Defense,Intermediate
A00,Hungarian Opening: Symmetrical Variation,2,678,Hungarian Opening,Basic
D50,Queen's Gambit Declined: Pseudo-Tarrasch Variation,9,679,Queen's Gambit Declined,Advanced
D32,Tarrasch Defense: Symmetrical Variation,10,680,Tarrasch Defense,Advanced
E90,King's Indian Defense: Zinnowitz Variation,11,681,King's Indian Defense,Advanced
A05,King's Indian Attack: Wahls Defense,10,682,King's Indian Attack,Advanced
E73,King's Indian Defense: Averbakh Variation |  Flexible Defense,12,683,King's Indian Defense,Advanced
E70,King's Indian Defense: Accelerated Averbakh Variation,9,684,King's Indian Defense,Advanced
B86,Sicilian Defense: Sozin Attack,11,685,Sicilian Defense,Advanced
B92,Sicilian Defense: Najdorf Variation |  Opocensky Variation,11,686,Sicilian Defense,Advanced
B84,Sicilian Defense: Scheveningen Variation |  Classical Variation,12,687,Sicilian Defense,Advanced
C69,Ruy Lopez: Exchange Variation |  Gligoric Variation,10,688,Ruy Lopez,Advanced
B35,Sicilian Defense: Dragon Variation |  Modern Bc4 Variation,14,689,Sicilian Defense,Advanced
D00,Blackmar-Diemer Gambit Declined |  Weinsbach Declination,8,690,Blackmar-Diemer Gambit Declined,Advanced
A00,Hungarian Opening: Catalan Formation,4,691,Hungarian Opening,Intermediate
B07,Pirc Defense: Byrne Variation,7,692,Pirc Defense,Intermediate
